file,word,n_candidates,candidates,correct_index,correct_unicode,confidence
beer,bể,6,1=𢯏(22BCF) 2=𣷭(23DED) 3=𥓳(254F3) 4=彼(5F7C) 5=把(628A) 6=波(6CE2),2,23DED,high
bir,bỉ,17,1=不(4E0D) 2=佊(4F4A) 3=否(5426) 4=啚(555A) 5=嚭(56AD) 6=庀(5E80) 7=庳(5EB3) 8=彼(5F7C) 9=比(6BD4) 10=秕(79D5) 11=粃(7C83) 12=紕(7D15) 13=腼(817C) 14=費(8CBB) 15=费(8D39) 16=鄙(9119) 17=鞞(979E),8,5F7C,high
caro,cảo,19,1=搞(641E) 2=攪(652A) 3=暠(66A0) 4=杲(6772) 5=槀(69C0) 6=槁(69C1) 7=犒(7292) 8=皓(7693) 9=皜(769C) 10=稾(7A3E) 11=稿(7A3F) 12=縞(7E1E) 13=缟(7F1F) 14=藁(85C1) 15=藳(85F3) 16=鄗(9117) 17=鎬(93AC) 18=镐(9550) 19=高(9AD8),11,7A3F,high
chuwx,chữ,6,1=𡦂(21982) 2=𡨸(21A38) 3=𡨹(21A39) 4=𡨺(21A3A) 5=字(5B57) 6=宁(5B81),2,21A38,high
cofn,còn,5,1=哙(54D9) 2=噲(5672) 3=存(5B58) 4=羣(7FA3) 5=群(7FA4),5,7FA4,high
coix,cõi,4,1=𡎝(2139D) 2=𡑭(2146D) 3=𨇒(281D2) 4=揆(63C6),1,2139D,med
cos,có,6,1=𣎏(2338F) 2=世(4E16) 3=古(53E4) 4=固(56FA) 5=故(6545) 6=箇(7B87),4,56FA,high
cuoojc,cuộc,1,1=局(5C40),1,5C40,high
dau,dâu,8,1=𣘛(2361B) 2=兜(515C) 3=妯(59AF) 4=嫂(5AC2) 5=柚(67DA) 6=桑(6851) 7=橷(6A77) 8=蒌(848C),1,2361B,med
ddasnh,đánh,3,1=𢱏(22C4F) 2=打(6253) 3=碇(7887),2,6253,high
ddau,đau,7,1=𠲢(20CA2) 2=𤴬(24D2C) 3=刀(5200) 4=叨(53E8) 5=唒(5512) 6=忉(5FC9) 7=茤(8324),2,24D2C,high
ddax,đã,6,1=𠰹(20C39) 2=㐌(340C) 3=卒(5352) 4=吔(5414) 5=諸(8AF8) 6=陀(9640),2,340C,high
ddefn,đèn,3,1=炳(70B3) 2=畑(7551) 3=畒(7552),2,7551,high
